talkID,character,talk,tran,production,ID,next
1,,후우 직접 전투하는 건 꽤나 오랜만인데...,0 0.5,pause,1,
1,,"공격 스킬은 Q, 회복은 w, 방어는 E키를 누르는 거 였을테고...",0 0.5,pause,1,
1,,내 밑에 있는 노랑칸이 행동력을 의미하는 것이였었지.,0 0.5,pause,1,
1,,"이동이나 공격같은 행동을 할때마다, 행동력을 소모하였고.....",0 0.5,pause,1,
1,,뭐 일단 전투를 하다보면 기억나겠지.,0 0.5,pause,1,
1,,최대한 적의 공격 범위를 피하면서 공격을 해야겠군.,0 0.5,pause,1,
1,,[ ← → ↑ ↓ 키를 눌러서 캐릭터를 이동해 적의 공격을 피할 수 있습니다.]/[먼저 캐릭터를 이동시켜봅시다.],0 0.5,skillLock\chPickLock\timeLock,1,move
1,,[한번 행동할때마다 적들도 한번 행동할 수 있습니다.],0 0.5,pause,1,
1,,"[키보드 1, 2 키로 행동할 캐릭터를 선택할 수 있습니다.]",0 0.5,pause,1,
1,,끝난건가?,0 0.5,pause,2,
1,,"아니, 적이 더욱 빠르게 공격해오고 있군 이런 상황에선 실시간으로 대응해야겠어.",0 0.5,pause,2,
1,,이젠 단순 방어가 아닌 대응 스킬을 통해 공격을 회피해야만 하겠네.../그럼 시작해 볼까?,0 0.5,pause,2,
1,,음.... 슬슬 적이 쓰러져야할 텐데.,0 0.5,pause,3,
1,,비기를 써야할 타이밍인가?,0 0.5,pause,3,
1,,분명 적에게 공격을 명중시켜서 게이지를 채울 수 있었는데.,0 0.5,pause,3,
1,,"역시 게이지가 다 차서 비기를 사용할 수 있군, R을 눌러 궁극기를 사용해보자. ",0 0.5,pause\UImaskDown\costMax,3,
,,흐음,0 0.5,,,
,,이게 무엇인지 아시오?,0 0.5,,,
,,정상적으로 데이터를 /불러오는데 실패해서 나오는 대사오,0 0.5,,,
